"","name1","name2","atbat86","hits86","homer86","runs86","rbi86","walks86","years","atbat","hits","homeruns","runs","rbi","walks","league86","div86","team86","posit86","outs86","assist86","error86","sal87","league87","team87"
"1","Al","Newman",185,37,1,23,8,21,2,214,42,1,30,9,24,"N","E","Mon","2B",76,127,7,70,"A","Min"
"2","Alan","Ashby",315,81,7,24,38,39,14,3449,835,69,321,414,375,"N","W","Hou","C",632,43,10,475,"N","Hou"
"3","Alan","Trammell",574,159,21,107,75,59,10,4631,1300,90,702,504,488,"A","E","Det","SS",238,445,22,517.143,"A","Det"
"4","Alan","Wiggins",239,60,0,30,11,22,6,1941,510,4,309,103,207,"A","E","Bal","2B",121,151,6,700,"A","Bal"
"5","Alex","Trevino",202,53,4,31,26,27,9,1876,467,15,192,186,161,"N","W","LA","C",304,45,11,512.5,"N","LA"
"6","Alfredo","Griffin",594,169,4,74,51,35,11,4408,1133,19,501,336,194,"A","W","Oak","SS",282,421,25,750,"A","Oak"
"7","Alvin","Davis",479,130,18,66,72,76,3,1624,457,63,224,266,263,"A","W","Sea","1B",880,82,14,480,"A","Sea"
"8","Andre","Dawson",496,141,20,65,78,37,11,5628,1575,225,828,838,354,"N","E","Mon","RF",200,11,3,500,"N","Chi"
"9","Andre","Thornton",401,92,17,49,66,65,13,5206,1332,253,784,890,866,"A","E","Cle","DH",0,0,0,1100,"A","Cle"
"10","Andres","Galarraga",321,87,10,39,42,30,2,396,101,12,48,46,33,"N","E","Mon","1B",805,40,4,91.5,"N","Mon"
"11","Andres","Thomas",323,81,6,26,32,8,2,341,86,6,32,34,8,"N","W","Atl","SS",143,290,19,75,"N","Atl"
"12","Andy","Allanson",293,66,1,30,29,14,1,293,66,1,30,29,14,"A","E","Cle","C",446,33,20,NA,"A","Cle"
"13","Andy","Van Slyke",418,113,13,48,61,47,4,1512,392,41,205,204,203,"N","E","StL","RF",211,11,7,550,"N","Pit"
"14","Argenis","Salazar",298,73,0,24,24,7,3,509,108,0,41,37,12,"A","W","KC","SS",121,283,9,100,"A","KC"
"15","Barry","Bonds",413,92,16,72,48,65,1,413,92,16,72,48,65,"N","E","Pit","CF",280,9,5,100,"N","Pit"
"16","Ben","Oglivie",346,98,5,31,53,30,16,5913,1615,235,784,901,560,"A","E","Mil","DH",0,0,0,NA,"A","Mil"
"17","Bill","Almon",196,43,7,29,27,30,13,3231,825,36,376,290,238,"N","E","Pit","UT",80,45,8,240,"N","Pit"
"18","Bill","Buckner",629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,"A","E","Bos","1B",1067,157,14,776.667,"A","Bos"
"19","Bill","Doran",550,152,6,92,37,81,5,2308,633,32,349,182,308,"N","W","Hou","2B",262,329,16,625,"N","Hou"
"20","Bill","Madlock",379,106,10,38,60,30,14,6207,1906,146,859,803,571,"N","W","LA","3B",72,170,24,850,"N","LA"
"21","Bill","Russell",216,54,0,21,18,15,18,7318,1926,46,796,627,483,"N","W","LA","UT",103,84,5,NA,"N","LA"
"22","Bill","Schroeder",217,46,7,32,19,9,4,694,160,32,86,76,32,"A","E","Mil","UT",307,25,1,180,"A","Mil"
"23","Billy","Beane",183,39,3,20,15,11,3,201,42,3,20,16,11,"A","W","Min","OF",118,0,0,NA,"A","Min"
"24","Billy","Hatcher",419,108,6,55,36,22,3,591,149,8,80,46,31,"N","W","Hou","CF",226,7,4,110,"N","Hou"
"25","Billy Jo","Robidoux",181,41,1,15,21,33,2,232,50,4,20,29,45,"A","E","Mil","1B",326,29,5,67.5,"A","Mil"
"26","Billy","Sample",200,57,6,23,14,14,9,2516,684,46,371,230,195,"N","W","Atl","OF",69,1,1,NA,"N","Atl"
